origin,original_dest,recommended_dest,time_slot,incentive_amount,period_start_min,expected_flow,surplus_at_dest,deficit_at_redir,detour_m
4,7,2,5,1.5,75.0,0.135,22.0,2.08,565.7
5,7,2,5,1.5,75.0,0.135,22.0,2.08,565.7
6,7,2,5,1.5,75.0,0.135,22.0,2.08,565.7
7,7,2,5,1.5,75.0,0.085,22.0,2.08,565.7
8,7,2,5,1.5,75.0,0.085,22.0,2.08,565.7
9,7,2,5,1.5,75.0,0.085,22.0,2.08,565.7
0,8,0,5,1.5,75.0,0.506,22.0,2.08,800.0
1,8,0,5,1.5,75.0,0.506,22.0,2.08,800.0
2,8,0,5,1.5,75.0,0.506,22.0,2.08,800.0
3,8,0,5,1.5,75.0,0.135,22.0,2.08,800.0
4,8,0,5,1.5,75.0,0.135,22.0,2.08,800.0
5,8,0,5,1.5,75.0,0.135,22.0,2.08,800.0
6,8,0,5,1.5,75.0,0.135,22.0,2.08,800.0
7,8,0,5,1.5,75.0,0.085,22.0,2.08,800.0
8,8,0,5,1.5,75.0,0.085,22.0,2.08,800.0
9,8,0,5,1.5,75.0,0.085,22.0,2.08,800.0
0,9,1,5,1.5,75.0,0.506,22.0,2.08,800.0
1,9,1,5,1.5,75.0,0.506,22.0,2.08,800.0
2,9,1,5,1.5,75.0,0.506,22.0,2.08,800.0
3,9,1,5,1.5,75.0,0.135,22.0,2.08,800.0
4,9,1,5,1.5,75.0,0.135,22.0,2.08,800.0
5,9,1,5,1.5,75.0,0.135,22.0,2.08,800.0
6,9,1,5,1.5,75.0,0.135,22.0,2.08,800.0
7,9,1,5,1.5,75.0,0.085,22.0,2.08,800.0
8,9,1,5,1.5,75.0,0.085,22.0,2.08,800.0
9,9,1,5,1.5,75.0,0.085,22.0,2.08,800.0
0,3,2,12,1.2,180.0,0.09,7.94,2.08,400.0
1,3,2,12,1.2,180.0,0.09,7.94,2.08,400.0
2,3,2,12,1.2,180.0,0.09,7.94,2.08,400.0
3,3,2,12,1.2,180.0,0.09,7.94,2.08,400.0
4,3,2,12,1.2,180.0,0.09,7.94,2.08,400.0
5,3,2,12,1.2,180.0,0.09,7.94,2.08,400.0
6,3,2,12,1.2,180.0,0.09,7.94,2.08,400.0
7,3,2,12,1.2,180.0,0.09,7.94,2.08,400.0
8,3,2,12,1.2,180.0,0.09,7.94,2.08,400.0
9,3,2,12,1.2,180.0,0.09,7.94,2.08,400.0
0,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
1,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
2,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
3,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
4,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
5,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
6,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
7,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
8,4,0,12,1.2,180.0,0.09,7.94,2.08,400.0
